x ,y
0,3.23
0.05,3.22987178
0.1,3.22998697
0.15,3.23034519
0.2,3.23094576
0.25,3.23178777
0.3,3.23287002
0.35,3.23419109
0.4,3.23574926
0.45,3.23754261
0.5,3.23956894
0.55,3.24182584
0.6,3.24431064
0.65,3.24702048
0.7,3.24995225
0.75,3.25310265
0.8,3.25646818
0.85,3.26004515
0.9,3.26382967
0.95,3.2678177
1,3.27200502
1.05,3.27638727
1.1,3.28095994
1.15,3.28571839
1.2,3.29065785
1.25,3.29577344
1.3,3.30106019
1.35,3.30651304
1.4,3.31212683
1.45,3.31789636
1.5,3.32381634
1.55,3.32988146
1.6,3.33608634
1.65,3.34242561
1.7,3.34889385
1.75,3.35548564
1.8,3.36219555
1.85,3.36901819
1.9,3.37594814
1.95,3.38298005
2,3.39010856
2.05,3.39732839
2.1,3.40463428
2.15,3.41202103
2.2,3.4194835
2.25,3.42701662
2.3,3.43461538
2.35,3.44227488
2.4,3.44999025
2.45,3.45775674
2.5,3.4655697
2.55,3.47342453
2.6,3.48131677
2.65,3.48924203
2.7,3.49719605
2.75,3.50517464
2.8,3.51317375
2.85,3.52118943
2.9,3.52921781
2.95,3.53725518
3,3.54529789
3.05,3.55334245
3.1,3.56138545
3.15,3.5694236
3.2,3.57745372
3.25,3.58547275
3.3,3.59347774
3.35,3.60146583
3.4,3.6094343
3.45,3.61738051
3.5,3.62530195
3.55,3.6331962
3.6,3.64106095
3.65,3.64889398
3.7,3.65669319
3.75,3.66445657
3.8,3.6721822
3.85,3.67986827
3.9,3.68751303
3.95,3.69511487
4,3.70267222
4.05,3.71018363
4.1,3.71764772
4.15,3.72506318
4.2,3.73242881
4.25,3.73974346
4.3,3.74700607
4.35,3.75421563
4.4,3.76137124
4.45,3.76847203
4.5,3.77551722
4.55,3.78250608
4.6,3.78943794
4.65,3.79631221
4.7,3.80312833
4.75,3.80988582
4.8,3.81658424
4.85,3.82322319
4.9,3.82980234
4.95,3.8363214
5,3.84278012
5.05,3.84917829
5.1,3.85551577
5.15,3.86179242
5.2,3.86800815
5.25,3.87416293
5.3,3.88025674
5.35,3.8862896
5.4,3.89226157
5.45,3.89817271
5.5,3.90402315
5.55,3.90981301
5.6,3.91554247
5.65,3.92121171
5.7,3.92682094
5.75,3.9323704
5.8,3.93786033
5.85,3.943291
5.9,3.94866272
5.95,3.95397578
6,3.95923051
6.05,3.96442725
6.1,3.96956635
6.15,3.97464818
6.2,3.97967313
6.25,3.98464157
6.3,3.98955392
6.35,3.99441058
6.4,3.99921197
6.45,4.00395853
6.5,4.00865069
6.55,4.0132889
6.6,4.01787361
6.65,4.02240527
6.7,4.02688435
6.75,4.0313113
6.8,4.03568662
6.85,4.04001076
6.9,4.04428421
6.95,4.04850744
7,4.05268094
7.05,4.0568052
7.1,4.06088071
7.15,4.06490794
7.2,4.06888739
7.25,4.07281954
7.3,4.07670489
7.35,4.08054392
7.4,4.08433713
7.45,4.08808499
7.5,4.091788
7.55,4.09544664
7.6,4.0990614
7.65,4.10263275
7.7,4.10616119
7.75,4.10964717
7.8,4.11309119
7.85,4.11649371
7.9,4.1198552
7.95,4.12317614
8,4.12645699
8.05,4.1296982
8.1,4.13290024
8.15,4.13606357
8.2,4.13918864
8.25,4.14227589
8.3,4.14532577
8.35,4.14833872
8.4,4.15131519
8.45,4.1542556
8.5,4.15716038
8.55,4.16002997
8.6,4.16286479
8.65,4.16566524
8.7,4.16843176
8.75,4.17116474
8.8,4.17386461
8.85,4.17653175
8.9,4.17916656
8.95,4.18176945
9,4.1843408
9.05,4.186881
9.1,4.18939043
9.15,4.19186947
9.2,4.19431849
9.25,4.19673786
9.3,4.19912795
9.35,4.20148912
9.4,4.20382172
9.45,4.20612611
9.5,4.20840263
9.55,4.21065164
9.6,4.21287347
9.65,4.21506846
9.7,4.21723694
9.75,4.21937924
9.8,4.22149569
9.85,4.22358661
9.9,4.2256523
9.95,4.2276931
10,4.2297093
10.05,4.2317012
10.1,4.23366912
10.15,4.23561335
10.2,4.23753418
10.25,4.23943191
10.3,4.24130681
10.35,4.24315918
10.4,4.24498929
10.45,4.24679741
10.5,4.24858383
10.55,4.2503488
10.6,4.25209259
10.65,4.25381547
10.7,4.25551769
10.75,4.25719951
10.8,4.25886117
10.85,4.26050294
10.9,4.26212504
10.95,4.26372773
11,4.26531124
11.05,4.2668758
11.1,4.26842166
11.15,4.26994904
11.2,4.27145816
11.25,4.27294924
11.3,4.27442252
11.35,4.2758782
11.4,4.2773165
11.45,4.27873763
11.5,4.2801418
11.55,4.28152922
11.6,4.28290009
11.65,4.2842546
11.7,4.28559296
11.75,4.28691536
11.8,4.288222
11.85,4.28951306
11.9,4.29078873
11.95,4.2920492
12,4.29329465
12.05,4.29452525
12.1,4.29574119
12.15,4.29694265
12.2,4.29812978
12.25,4.29930277
12.3,4.30046178
12.35,4.30160698
12.4,4.30273853
12.45,4.30385659
12.5,4.30496132
12.55,4.30605289
12.6,4.30713143
12.65,4.30819712
12.7,4.30925009
12.75,4.3102905
12.8,4.31131849
12.85,4.31233421
12.9,4.31333781
12.95,4.31432941
13,4.31530917
13.05,4.31627721
13.1,4.31723369
13.15,4.31817871
13.2,4.31911243
13.25,4.32003497
13.3,4.32094646
13.35,4.32184702
13.4,4.32273678
13.45,4.32361587
13.5,4.3244844
13.55,4.3253425
13.6,4.32619028
13.65,4.32702786
13.7,4.32785536
13.75,4.32867289
13.8,4.32948056
13.85,4.33027848
13.9,4.33106677
13.95,4.33184553
14,4.33261486
14.05,4.33337488
14.1,4.33412568
14.15,4.33486738
14.2,4.33560006
14.25,4.33632383
14.3,4.3370388
14.35,4.33774504
14.4,4.33844267
14.45,4.33913178
14.5,4.33981245
14.55,4.34048479
14.6,4.34114888
14.65,4.34180481
14.7,4.34245268
14.75,4.34309256
14.8,4.34372455
14.85,4.34434873
14.9,4.34496519
14.95,4.345574
15,4.34617526
15.05,4.34676903
15.1,4.34735541
15.15,4.34793447
15.2,4.34850629
15.25,4.34907094
15.3,4.34962851
15.35,4.35017906
15.4,4.35072268
15.45,4.35125943
15.5,4.35178938
15.55,4.35231262
15.6,4.3528292
15.65,4.3533392
15.7,4.35384269
15.75,4.35433973
15.8,4.35483039
15.85,4.35531474
15.9,4.35579284
15.95,4.35626477
16,4.35673057
16.05,4.35719032
16.1,4.35764407
16.15,4.35809189
16.2,4.35853384
16.25,4.35896998
16.3,4.35940037
16.35,4.35982506
16.4,4.36024412
16.45,4.36065759
16.5,4.36106555
16.55,4.36146803
16.6,4.36186511
16.65,4.36225682
16.7,4.36264324
16.75,4.3630244
16.8,4.36340036
16.85,4.36377117
16.9,4.36413689
16.95,4.36449756
17,4.36485323
17.05,4.36520396
17.1,4.36554979
17.15,4.36589077
17.2,4.36622695
17.25,4.36655837
17.3,4.36688508
17.35,4.36720713
17.4,4.36752456
17.45,4.36783742
17.5,4.36814575
17.55,4.36844959
17.6,4.36874899
17.65,4.369044
17.7,4.36933464
17.75,4.36962097
17.8,4.36990302
17.85,4.37018084
17.9,4.37045447
17.95,4.37072394
18,4.3709893
18.05,4.37125058
18.1,4.37150783
18.15,4.37176108
18.2,4.37201036
18.25,4.37225572
18.3,4.37249719
18.35,4.37273482
18.4,4.37296862
18.45,4.37319865
18.5,4.37342492
18.55,4.37364749
18.6,4.37386639
18.65,4.37408164
18.7,4.37429328
18.75,4.37450134
18.8,4.37470586
18.85,4.37490687
18.9,4.3751044
18.95,4.37529848
19,4.37548915
19.05,4.37567643
19.1,4.37586036
19.15,4.37604096
19.2,4.37621827
19.25,4.37639231
19.3,4.37656312
19.35,4.37673071
19.4,4.37689514
19.45,4.37705641
19.5,4.37721455
19.55,4.37736961
19.6,4.3775216
19.65,4.37767054
19.7,4.37781647
19.75,4.37795942
19.8,4.37809941
19.85,4.37823646
19.9,4.3783706
19.95,4.37850185
20,4.37863025
20.05,4.37875582
20.1,4.37887857
20.15,4.37899854
20.2,4.37911574
20.25,4.37923021
20.3,4.37934197
20.35,4.37945103
20.4,4.37955743
20.45,4.37966118
20.5,4.37976231
20.55,4.37986083
20.6,4.37995678
20.65,4.38005017
20.7,4.38014103
20.75,4.38022937
20.8,4.38031522
20.85,4.3803986
20.9,4.38047953
20.95,4.38055802
21,4.38063411
21.05,4.3807078
21.1,4.38077912
21.15,4.3808481
21.2,4.38091474
21.25,4.38097906
21.3,4.3810411
21.35,4.38110086
21.4,4.38115836
21.45,4.38121362
21.5,4.38126667
21.55,4.38131751
21.6,4.38136617
21.65,4.38141267
21.7,4.38145701
21.75,4.38149922
21.8,4.38153932
21.85,4.38157733
21.9,4.38161325
21.95,4.38164711
22,4.38167892
22.05,4.3817087
22.1,4.38173646
22.15,4.38176223
22.2,4.38178601
22.25,4.38180783
22.3,4.38182769
22.35,4.38184562
22.4,4.38186162
22.45,4.38187572
22.5,4.38188793
22.55,4.38189826
22.6,4.38190673
22.65,4.38191335
22.7,4.38191814
22.75,4.3819211
22.8,4.38192226
22.85,4.38192163
22.9,4.38191923
22.95,4.38191505
23,4.38190913
23.05,4.38190147
23.1,4.38189209
23.15,4.38188099
23.2,4.3818682
23.25,4.38185372
23.3,4.38183757
23.35,4.38181976
23.4,4.3818003
23.45,4.38177921
23.5,4.38175649
23.55,4.38173216
23.6,4.38170624
23.65,4.38167872
23.7,4.38164963
23.75,4.38161898
23.8,4.38158678
23.85,4.38155303
23.9,4.38151776
23.95,4.38148097
24,4.38144267
24.05,4.38140287
24.1,4.38136159
24.15,4.38131884
24.2,4.38127462
24.25,4.38122895
24.3,4.38118184
24.35,4.38113329
24.4,4.38108333
24.45,4.38103195
24.5,4.38097917
24.55,4.380925
24.6,4.38086944
24.65,4.38081252
24.7,4.38075423
24.75,4.38069459
24.8,4.38063361
24.85,4.3805713
24.9,4.38050766
24.95,4.38044271
25,4.38037645
25.05,4.3803089
25.1,4.38024006
25.15,4.38016994
25.2,4.38009855
25.25,4.3800259
25.3,4.379952
25.35,4.37987686
25.4,4.37980048
25.45,4.37972287
25.5,4.37964405
25.55,4.37956402
25.6,4.37948279
25.65,4.37940036
25.7,4.37931675
25.75,4.37923197
25.8,4.37914601
25.85,4.3790589
25.9,4.37897063
25.95,4.37888122
26,4.37879066
26.05,4.37869898
26.1,4.37860618
26.15,4.37851226
26.2,4.37841724
26.25,4.37832111
26.3,4.37822389
26.35,4.37812559
26.4,4.37802621
26.45,4.37792576
26.5,4.37782424
26.55,4.37772166
26.6,4.37761804
26.65,4.37751337
26.7,4.37740767
26.75,4.37730093
26.8,4.37719318
26.85,4.3770844
26.9,4.37697462
26.95,4.37686383
27,4.37675205
27.05,4.37663927
27.1,4.37652551
27.15,4.37641077
27.2,4.37629507
27.25,4.37617839
27.3,4.37606076
27.35,4.37594217
27.4,4.37582264
27.45,4.37570216
27.5,4.37558075
27.55,4.37545841
27.6,4.37533515
27.65,4.37521096
27.7,4.37508587
27.75,4.37495987
27.8,4.37483297
27.85,4.37470517
27.9,4.37457649
27.95,4.37444692
28,4.37431647
28.05,4.37418514
28.1,4.37405295
28.15,4.3739199
28.2,4.37378599
28.25,4.37365123
28.3,4.37351562
28.35,4.37337917
28.4,4.37324188
28.45,4.37310376
28.5,4.37296481
28.55,4.37282504
28.6,4.37268446
28.65,4.37254306
28.7,4.37240086
28.75,4.37225785
28.8,4.37211405
28.85,4.37196945
28.9,4.37182407
28.95,4.3716779
29,4.37153095
29.05,4.37138323
29.1,4.37123474
29.15,4.37108549
29.2,4.37093547
29.25,4.3707847
29.3,4.37063318
29.35,4.37048091
29.4,4.37032789
29.45,4.37017414
29.5,4.37001965
29.55,4.36986444
29.6,4.36970849
29.65,4.36955183
29.7,4.36939444
29.75,4.36923635
29.8,4.36907754
29.85,4.36891803
29.9,4.36875782
29.95,4.3685969
30,4.3684353
30.05,4.368273
30.1,4.36811002
30.15,4.36794636
30.2,4.36778202
30.25,4.36761701
30.3,4.36745132
30.35,4.36728497
30.4,4.36711795
